metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations,selection_track,selected_for_forecast
tourism_comprehensive_income,1000.0000000000,1000.0000000000,False,7,56.0640440366,18.7372979901,0.5803658136,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0001000000,0.0001000000,True,7,15.4388304746,20.1146616995,0.1572690494,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0001778279,0.0001778279,True,7,15.4390189662,20.1145153132,0.1572709202,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0003162278,0.0003162278,True,7,15.4393541488,20.1142550388,0.1572742470,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0005623413,0.0005623413,True,7,15.4399501712,20.1137923288,0.1572801626,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0010000000,0.0010000000,True,7,15.4410099842,20.1129699139,0.1572906815,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0017782794,0.0017782794,True,7,15.4428943702,20.1115087352,0.1573093846,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0031622777,0.0031622777,True,7,15.4462445205,20.1089144743,0.1573426360,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0056234133,0.0056234133,True,7,15.4521994490,20.1043141756,0.1574017414,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0100000000,0.0100000000,True,7,15.4627808391,20.0961746450,0.1575067687,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0177827941,0.0177827941,True,7,15.4815718092,20.0818296893,0.1576932885,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0316227766,0.0316227766,True,7,15.5149063194,20.0567266435,0.1580241894,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.0562341325,0.0562341325,True,7,15.5739289890,20.0133549728,0.1586101549,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.1000000000,0.1000000000,True,7,15.6780857970,19.9401496382,0.1596444041,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.1778279410,0.1778279410,True,7,15.8608013576,19.8218801878,0.1614593097,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
