track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2014,4,4,2013,1553.4000000000,1404.0325471093,10.1011570348,0.1010975900,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2015,5,5,2014,1818.7200000000,1622.8146106932,11.3847693815,0.1139709013,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2016,6,6,2015,2086.0000000000,1875.8778718284,10.6071986553,0.1061716084,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2017,7,7,2016,2392.0000000000,2142.0340682530,11.0262043904,0.1103739593,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2018,8,8,2017,2660.0000000000,2431.5983624217,8.9717067734,0.0897773194,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2019,9,9,2018,2800.0000000000,2716.3723669877,3.0319792592,0.0303221156,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.5623413252,0.5623413252,2023,10,13,2019,2363.0000000000,3577.7224795609,40.8947727735,0.4147944209,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2014,4,4,2013,1553.4000000000,1377.2800000000,12.0190535985,0.1203355373,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2015,5,5,2014,1818.7200000000,1591.2000000000,13.3445945946,0.1336445084,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2016,6,6,2015,2086.0000000000,1839.5152380952,12.5580845802,0.1257462772,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2017,7,7,2016,2392.0000000000,2101.8435714286,12.9135081789,0.1293149853,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2018,8,8,2017,2660.0000000000,2387.7773809524,10.7858409158,0.1079631557,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2019,9,9,2018,2800.0000000000,2669.9628888889,4.7545884224,0.0475548442,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.0000000000,1.0000000000,2023,10,13,2019,2363.0000000000,3488.1166547872,38.4581857163,0.3894299519,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2014,4,4,2013,1553.4000000000,1339.7175101186,14.7717808996,0.1479872986,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2015,5,5,2014,1818.7200000000,1545.0654800080,16.2706285296,0.1630666656,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2016,6,6,2015,2086.0000000000,1784.9607346455,15.5537235323,0.1558519390,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2017,7,7,2016,2392.0000000000,2040.2734159969,15.8711591543,0.1590460098,True
