track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,562.3413251903,562.3413251903,2014,4,4,2013,79.0000000000,49.3375221293,46.2257294336,0.4707629629,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,562.3413251903,562.3413251903,2015,5,5,2014,94.0000000000,55.4196304394,51.6402957859,0.5283609112,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1000.0000000000,1000.0000000000,2014,4,4,2013,79.0000000000,49.2689905657,46.3572829304,0.4721529639,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1000.0000000000,1000.0000000000,2015,5,5,2014,94.0000000000,55.2997061970,51.8424245952,0.5305271866,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001000000,0.0001000000,2014,4,4,2013,79.0000000000,71.4388255371,10.0521583254,0.1006063559,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001000000,0.0001000000,2015,5,5,2014,94.0000000000,86.3908806673,8.4362572038,0.0844126599,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001000000,0.0001000000,2017,6,6,2015,130.0000000000,113.3814058848,13.6564205099,0.1367770419,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001778279,0.0001778279,2014,4,4,2013,79.0000000000,71.4383924727,10.0527629989,0.1006124179,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001778279,0.0001778279,2015,5,5,2014,94.0000000000,86.3903943124,8.4368191739,0.0844182896,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0001778279,0.0001778279,2017,6,6,2015,130.0000000000,113.3807344934,13.6570099036,0.1367829634,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0003162278,0.0003162278,2014,4,4,2013,79.0000000000,71.4376224049,10.0538382277,0.1006231975,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0003162278,0.0003162278,2015,5,5,2014,94.0000000000,86.3895294748,8.4378184780,0.0844283004,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0003162278,0.0003162278,2017,6,6,2015,130.0000000000,113.3795406150,13.6580579806,0.1367934933,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0005623413,0.0005623413,2014,4,4,2013,79.0000000000,71.4362531407,10.0557501285,0.1006423649,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0005623413,0.0005623413,2015,5,5,2014,94.0000000000,86.3879916703,8.4395954068,0.0844461014,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0005623413,0.0005623413,2017,6,6,2015,130.0000000000,113.3774177016,13.6599216603,0.1368122174,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0010000000,0.0010000000,2014,4,4,2013,79.0000000000,71.4338186226,10.0591495273,0.1006764451,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0010000000,0.0010000000,2015,5,5,2014,94.0000000000,86.3852573980,8.4427549256,0.0844777530,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0010000000,0.0010000000,2017,6,6,2015,130.0000000000,113.3736429986,13.6632355062,0.1368455112,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0017782794,0.0017782794,2014,4,4,2013,79.0000000000,71.4294906846,10.0651930429,0.1007370336,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0017782794,0.0017782794,2015,5,5,2014,94.0000000000,86.3803962798,8.4483723035,0.0845340271,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0017782794,0.0017782794,2017,6,6,2015,130.0000000000,113.3669318819,13.6691275100,0.1369047077,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0031622777,0.0031622777,2014,4,4,2013,79.0000000000,71.4217985586,10.0759351557,0.1008447278,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0031622777,0.0031622777,2015,5,5,2014,94.0000000000,86.3717555896,8.4583580012,0.0846340628,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0031622777,0.0031622777,2017,6,6,2015,130.0000000000,113.3550019399,13.6796021676,0.1370099462,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0056234133,0.0056234133,2014,4,4,2013,79.0000000000,71.4081329401,10.0950220065,0.1010360829,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0056234133,0.0056234133,2015,5,5,2014,94.0000000000,86.3564018312,8.4761040819,0.0848118423,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0056234133,0.0056234133,2017,6,6,2015,130.0000000000,113.3338007524,13.6982196440,0.1371969972,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0100000000,0.0100000000,2014,4,4,2013,79.0000000000,71.3838730898,10.1289144291,0.1013758757,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0100000000,0.0100000000,2015,5,5,2014,94.0000000000,86.3291358228,8.5076259499,0.0851276302,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0100000000,0.0100000000,2017,6,6,2015,130.0000000000,113.2961420114,13.7312970526,0.1375293341,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0177827941,0.0177827941,2014,4,4,2013,79.0000000000,71.3408628584,10.1890291116,0.1019785776,False
